Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,age,TotalMnt,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,index,cluster
59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,69,310,False,False,False,True,False,False,False,True,False,False,False,False,False,12,1
17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,34,46,False,False,True,False,False,False,False,False,True,False,False,False,False,13,2
82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,75,1315,False,False,False,False,True,False,False,False,False,True,False,False,False,14,0
41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,41,96,False,False,True,False,False,False,False,False,True,False,False,False,False,15,2
37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,75,317,False,False,True,False,False,False,False,False,False,False,True,False,False,16,2
76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,72,1782,False,False,False,True,False,False,False,False,True,False,False,False,False,17,0
33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,36,133,True,False,False,False,False,False,False,False,False,True,False,False,False,18,2
37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,39,316,False,False,True,False,False,False,False,False,True,False,False,False,False,19,2
2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,42,1730,False,False,True,False,False,False,False,False,True,False,False,False,False,20,0
58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,72,972,False,False,False,False,True,False,False,False,True,False,False,False,False,21,1
65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,67,544,False,False,False,False,True,False,False,False,True,False,False,False,False,22,1
40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,70,444,False,False,True,False,False,False,False,False,False,False,True,False,False,23,1
18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,52,75,False,False,True,False,False,False,False,False,False,True,False,False,False,24,2
53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,45,257,False,False,True,False,False,False,False,False,True,False,False,False,False,25,2
38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,32,131,False,False,True,False,False,False,False,False,True,False,False,False,False,26,2
84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,56,1672,False,False,False,False,True,False,False,False,True,False,False,False,False,27,0
10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,32,30,False,False,False,True,False,False,False,True,False,False,False,False,False,28,2
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,58,318,False,False,False,True,False,False,False,False,False,False,True,False,False,29,2
40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,51,120,False,False,True,False,False,False,False,False,False,False,True,False,False,30,2
46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,69,302,False,False,False,False,True,False,False,True,False,False,False,False,False,31,1
68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,75,1196,False,False,False,True,False,False,False,False,True,False,False,False,False,32,1
49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,70,65,False,False,False,True,False,False,False,False,False,True,False,False,False,33,2
67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,51,913,False,False,False,False,True,False,False,False,True,False,False,False,False,34,1
23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,45,81,True,False,False,False,False,False,False,False,True,False,False,False,False,35,2
42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,48,67,False,False,True,False,False,False,False,False,False,False,False,True,False,36,2
48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,78,902,False,False,False,False,True,False,False,True,False,False,False,False,False,37,1
80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,41,1395,False,False,True,False,False,False,False,False,True,False,False,False,False,38,0
20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,36,53,False,False,False,True,False,False,False,False,True,False,False,False,False,39,2
21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,64,22,False,False,True,False,False,False,False,False,False,False,True,False,False,40,2
7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,46,31,False,False,False,True,False,False,False,False,True,False,False,False,False,41,2
79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,45,984,False,False,True,False,False,False,False,False,False,True,False,False,False,42,0
7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,25,122,True,False,False,False,False,False,False,False,True,False,False,False,False,43,2
41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,53,55,False,False,True,False,False,False,False,False,False,False,True,False,False,44,2
72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,67,1319,False,False,False,False,True,False,False,False,True,False,False,False,False,45,1
65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,64,507,False,False,True,False,False,False,False,False,False,False,False,True,False,46,1
79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,57,1693,False,False,False,True,False,False,False,False,True,False,False,False,False,47,0
35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,44,72,False,False,True,False,False,False,False,False,False,True,False,False,False,48,2
82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,44,1617,False,False,True,False,False,False,False,True,False,False,False,False,False,49,0
66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,43,606,False,False,True,False,False,False,False,False,True,False,False,False,False,50,1
82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,66,1957,False,False,False,True,False,False,False,False,False,False,True,False,False,51,0
70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,55,1093,False,False,True,False,False,False,False,True,False,False,False,False,False,52,0
27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,33,29,False,False,True,False,False,False,False,False,False,True,False,False,False,53,2
55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,53,518,False,False,False,False,True,False,False,False,True,False,False,False,False,54,1
75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,39,1438,False,False,False,True,False,False,False,False,False,True,False,False,False,55,0
66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,46,612,False,False,True,False,False,False,False,False,False,False,True,False,False,56,1
61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,69,884,False,False,True,False,False,False,False,False,False,True,False,False,False,57,1
67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,70,606,False,False,False,False,True,False,False,False,False,False,False,True,False,58,1
70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,73,1076,False,False,True,False,False,False,False,False,False,False,True,False,False,59,0
25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,50,34,False,False,True,False,False,False,False,False,True,False,False,False,False,60,2
32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,54,11,False,False,True,False,False,False,False,False,False,False,True,False,False,61,2
88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,42,1274,True,False,False,False,False,False,False,False,False,True,False,False,False,62,0
69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,63,653,False,False,True,False,False,False,False,False,False,False,True,False,False,63,1
74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,51,1562,False,False,True,False,False,False,False,False,False,False,True,False,False,64,1
66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,67,1253,False,False,False,True,False,False,False,False,True,False,False,False,False,65,0
65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,62,863,False,False,True,False,False,False,False,False,True,False,False,False,False,66,1
60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,46,661,False,False,False,False,True,False,False,False,True,False,False,False,False,67,1
28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,69,65,False,False,True,False,False,False,False,False,True,False,False,False,False,68,2
40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,44,13,False,False,True,False,False,False,False,True,False,False,False,False,False,69,2
75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,49,1890,False,False,False,True,False,False,False,False,True,False,False,False,False,70,0
75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,45,2209,False,False,True,False,False,False,False,False,False,True,False,False,False,71,0
26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,45,18,True,False,False,False,False,False,False,False,False,False,True,False,False,72,2
56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,56,692,False,False,True,False,False,False,False,False,False,False,True,False,False,73,1
29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,36,165,False,False,True,False,False,False,False,False,False,True,False,False,False,74,2
26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,52,16,False,False,True,False,False,False,False,False,True,False,False,False,False,75,2
23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,48,79,True,False,False,False,False,False,False,False,True,False,False,False,False,76,2
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,58,318,False,False,False,True,False,False,False,False,False,False,True,False,False,77,2
81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,34,778,False,False,True,False,False,False,False,True,False,False,False,False,False,78,0
29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,61,56,False,False,True,False,False,False,False,False,True,False,False,False,False,79,2
36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,51,151,False,False,False,True,False,False,False,False,True,False,False,False,False,80,2
50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,64,372,False,False,True,False,False,False,False,False,False,True,False,False,False,81,1
79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,48,1366,False,False,True,False,False,False,False,False,True,False,False,False,False,82,0
54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,54,194,False,False,True,False,False,False,False,False,False,False,True,False,False,83,2
42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,49,32,False,False,False,True,False,False,False,False,False,True,False,False,False,84,2
23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,51,43,False,False,False,False,True,False,False,False,True,False,False,False,False,85,2
30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,38,45,False,False,True,False,False,False,False,False,True,False,False,False,False,86,2
47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,61,606,False,False,True,False,False,False,False,False,False,False,False,True,False,87,1
51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,49,63,False,False,True,False,False,False,False,True,False,False,False,False,False,88,2
78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,70,978,True,False,False,False,False,False,False,False,True,False,False,False,False,89,0
50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,38,410,False,False,False,False,True,False,False,False,True,False,False,False,False,90,1
47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,61,72,True,False,False,False,False,False,False,False,False,True,False,False,False,91,2
34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,62,55,False,False,False,False,True,False,False,False,False,True,False,False,False,92,2
85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,42,1169,False,False,True,False,False,False,False,False,False,False,True,False,False,93,0
65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,76,1120,False,False,False,False,True,False,False,False,True,False,False,False,False,94,1
87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,62,1097,False,False,True,False,False,False,False,False,True,False,False,False,False,95,0
24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,42,29,False,True,False,False,False,False,False,False,False,False,True,False,False,96,2
49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,57,187,False,False,True,False,False,False,False,False,True,False,False,False,False,97,2
52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,52,910,False,False,True,False,False,False,False,False,True,False,False,False,False,98,1
38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,43,145,False,False,True,False,False,False,False,False,False,True,False,False,False,99,2
89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,61,850,False,False,False,True,False,False,False,False,True,False,False,False,False,100,0
77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,42,969,False,False,True,False,False,False,False,False,False,False,True,False,False,101,0
68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,30,1820,False,False,False,False,True,False,False,False,False,True,False,False,False,102,1
57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,58,608,False,False,False,True,False,False,False,False,False,False,True,False,False,103,1
86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,30,730,False,False,True,False,False,False,False,False,False,True,False,False,False,104,0
43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,41,551,False,False,False,False,True,False,False,False,True,False,False,False,False,105,1
50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,59,114,False,False,True,False,False,False,False,False,False,True,False,False,False,106,2
90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,51,1724,False,False,True,False,False,False,False,False,True,False,False,False,False,107,0
36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,43,577,True,False,False,False,False,False,False,False,True,False,False,False,False,108,1
30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,54,81,True,False,False,False,False,False,False,False,False,False,True,False,False,109,2
21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,52,33,False,False,True,False,False,False,False,False,False,False,True,False,False,110,2
56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,68,660,False,False,False,True,False,False,False,False,False,False,True,False,False,111,1
32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,54,80,False,False,False,True,False,False,False,False,False,True,False,False,False,112,2
19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,36,30,False,False,False,True,False,False,False,False,True,False,False,False,False,113,2
30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,45,43,False,False,True,False,False,False,False,True,False,False,False,False,False,114,2
101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,38,1135,False,False,True,False,False,False,False,False,False,True,False,False,False,115,0
71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,56,559,True,False,False,False,False,False,False,False,False,False,True,False,False,116,1
79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,37,1923,False,False,True,False,False,False,False,False,False,True,False,False,False,117,0
54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,68,90,False,False,False,True,False,False,False,False,True,False,False,False,False,118,2
77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,65,661,False,False,False,False,True,False,False,False,False,False,True,False,False,119,1
62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,69,463,False,False,True,False,False,False,False,False,True,False,False,False,False,120,1
61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,63,632,False,False,False,True,False,False,True,False,False,False,False,False,False,121,1
73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,52,725,False,False,True,False,False,False,False,False,True,False,False,False,False,122,0
41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,57,279,False,False,False,False,True,False,False,False,True,False,False,False,False,123,2
62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,54,1482,False,False,False,False,True,False,False,False,False,False,True,False,False,124,1
9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,45,29,False,True,False,False,False,False,False,True,False,False,False,False,False,125,2
33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,62,106,False,False,False,False,True,False,False,False,True,False,False,False,False,126,2
35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,48,49,False,False,False,False,True,False,True,False,False,False,False,False,False,127,2
36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,56,38,False,False,False,False,True,False,False,True,False,False,False,False,False,128,2
92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,29,2077,False,False,False,True,False,False,False,False,False,True,False,False,False,129,0
65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,45,1053,False,False,False,True,False,False,False,False,False,False,True,False,False,130,1
86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,59,1385,False,False,True,False,False,False,False,False,True,False,False,False,False,131,0
68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,47,871,False,False,False,False,True,False,False,False,False,True,False,False,False,132,1
41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,33,312,False,False,True,False,False,False,False,False,False,False,True,False,False,133,2
59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,45,877,False,False,True,False,False,False,False,False,True,False,False,False,False,134,1
23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,46,68,False,False,True,False,False,False,False,False,True,False,False,False,False,135,2
38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,40,22,False,False,True,False,False,False,False,False,False,False,True,False,False,136,2
35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,48,211,True,False,False,False,False,False,False,False,True,False,False,False,False,137,2
49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,55,127,False,False,False,True,False,False,False,False,True,False,False,False,False,138,2
59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,68,459,False,False,False,True,False,False,False,False,True,False,False,False,False,139,1
65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,52,460,False,False,True,False,False,False,False,False,True,False,False,False,False,140,1
46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,49,429,True,False,False,False,False,False,False,False,False,False,True,False,False,141,1
34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,33,89,False,False,True,False,False,False,True,False,False,False,False,False,False,142,2
61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,69,1021,False,False,False,False,True,False,False,False,False,False,True,False,False,143,1
69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,72,1381,False,False,True,False,False,False,False,False,False,False,True,False,False,144,0
49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,63,306,False,False,True,False,False,False,False,False,False,True,False,False,False,145,2
60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,43,18,False,False,True,False,False,False,False,False,False,True,False,False,False,146,2
55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,44,162,False,False,True,False,False,False,False,False,False,False,True,False,False,147,2
80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,66,1231,False,False,True,False,False,False,False,False,False,True,False,False,False,148,0
30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,63,13,False,False,False,True,False,False,False,False,False,True,False,False,False,149,2
70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,76,1706,False,False,False,False,True,False,False,False,True,False,False,False,False,150,1
23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,37,121,False,False,True,False,False,False,False,False,True,False,False,False,False,151,2
74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,46,1293,False,False,False,False,True,False,False,True,False,False,False,False,False,152,1
157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0,48,1608,False,False,False,False,True,False,False,False,True,False,False,False,False,153,0
43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0,55,88,False,False,True,False,False,False,False,False,False,False,True,False,False,154,2
62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0,68,421,False,False,True,False,False,False,False,True,False,False,False,False,False,155,1
